Site,exc_tss_05,exc_tss_50,exc_din_1,exc_din_18
Atiha,8,0,0,0
Ha'apiti,50,8,24,0
Haumi,22,11,78,44
Ma'atea,0,0,11,0
Maharepa,42,0,12,6
Opunohu 1,50,10,7,0
Opunohu 2,30,0,100,77
Paopao 1,43,14,100,71
Paopao 2,43,14,100,14
Papetoai,62,12,88,25
Pihaena,78,22,23,13
Teavaro,50,0,73,27
Vaianae,33,8,0,0
Overall,39,8,47,21
